repo_key,repo_url,true_label,true_label_normalized,method,top1_hit,top3_hit,top5_hit,pred_top1_category,pred_categories_top5,scores_top5,positions_top5
tekyung/Ttakji_lab-mobile_development_dep,https://github.com/tekyung/Ttakji_lab-mobile_development_dep,게임 개발,게임 개발,keyword,0,0,0,devops/시스템 엔지니어,devops/시스템 엔지니어 | SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | SW/솔루션,0.7273 | 0.6667 | 0.6667 | 0.6667 | 0.6667,애니메이션 저작 솔루션 시스템 개발자 (유니티 기반) | S/W 소프트웨어 개발 - 경력 | 시스템개발/유지보수(1~3년) | 자동화장비 PC제어 경력(동탄본사) | 비전 검사장비 엔지니어(S/W개발&셋업)
honey766/Paint,https://github.com/honey766/Paint,게임 개발,게임 개발,embedding,1,1,1,게임 클라이언트,게임 클라이언트 | 서버/백엔드 | 프론트엔드 | 프론트엔드 | SW/솔루션,0.6024 | 0.5884 | 0.5865 | 0.5844 | 0.5828,"게임 개발자(1~3년) | LOST ARK Mobile 서버개발 담당 | 프론트엔드 개발자_1~4년 | 프론트 개발 3-5년차 | c#, db 관련 개발자"
honey766/Balls-Run,https://github.com/honey766/Balls-Run,게임 개발,게임 개발,keyword,0,0,0,SW/솔루션,SW/솔루션 | SW/솔루션 | devops/시스템 엔지니어 | QA 엔지니어 | SW/솔루션,0.3333 | 0.2857 | 0.2500 | 0.2500 | 0.2222,"[부산] 코어셀 - 비주얼테크 디자이너 (AI이미지 학습,생성) | Digital Twin 개발자 | 애니메이션 저작 솔루션 시스템 개발자 (유니티 기반) | [신작팀] 하이퍼캐주얼 QA | Robot Application Engineer (NVIDIA Isaac Sim)"
honey766/Balls-Run,https://github.com/honey766/Balls-Run,게임 개발,게임 개발,embedding,0,0,0,devops/시스템 엔지니어,devops/시스템 엔지니어 | 크로스플랫폼 앱 | SW/솔루션 | SW/솔루션 | HW/임베디드,0.5107 | 0.5000 | 0.4997 | 0.4993 | 0.4972,클라우드 및 네트워크 인프라 엔지니어 3년 이상 (울산) | Flutter 앱 개발 | 응용 SW 개발 모집 | 비젼개발팀Vision SW 경력(10년↑)채용 | 임베디드 Embedded C/C++ IT SW 개발자 신입
2026TUKCOMCD/SyncLab,https://github.com/2026TUKCOMCD/SyncLab,풀스택,풀스택,keyword,0,0,0,QA 엔지니어,QA 엔지니어 | 크로스플랫폼 앱 | 안드로이드 | QA 엔지니어 | 크로스플랫폼 앱,0.5333 | 0.5263 | 0.5263 | 0.5263 | 0.5263,QA 엔지니어 (3년 이상) | 모바일 앱 개발자(React Native) (2~5년) | Android 개발자 | [4년 이상] QA Engineer | Flutter 프론트엔드 개발자 채용
2026TUKCOMCD/SyncLab,https://github.com/2026TUKCOMCD/SyncLab,풀스택,풀스택,embedding,0,1,1,SW/솔루션,SW/솔루션 | 프론트엔드 | 프론트엔드 | 프론트엔드 | 웹 풀스택,0.8520 | 0.8510 | 0.8431 | 0.8275 | 0.8269,L4-L7 스위치 가상화 솔루션 개발 경력 | 프론트엔드 개발자 | [경력] 프론트엔드 개발자 | 프론트엔드 개발자 | 프론트·백엔드 개발자 채용
Central-MakeUs/AZIT_Front,https://github.com/Central-MakeUs/AZIT_Front,프론트엔드,프론트엔드,keyword,0,1,1,인공지능/머신러닝,인공지능/머신러닝 | 인공지능/머신러닝 | 프론트엔드 | 웹 풀스택 | 크로스플랫폼 앱,0.6250 | 0.5882 | 0.5000 | 0.4762 | 0.4615,[멜팅] AI-Native 개발자 | [멜팅] AI-Native 개발자 | [인아웃] 프론트엔드 개발자 | 앱 및 웹 개발자 | 여행 플랫폼 WOKA React Native 개발자 (3년 이상)
Central-MakeUs/AZIT_Front,https://github.com/Central-MakeUs/AZIT_Front,프론트엔드,프론트엔드,embedding,0,1,1,SW/솔루션,SW/솔루션 | 프론트엔드 | SW/솔루션 | 프론트엔드 | 서버/백엔드,0.7930 | 0.7829 | 0.7774 | 0.7649 | 0.7613,GitLab 솔루션 엔지니어 | 프론트엔드 개발자 | L4-L7 스위치 가상화 솔루션 개발 경력 | 프론트엔드 개발자 | 서버/백엔드 개발자 채용 (경력1년~4년)
Project-Guideon/guideon-backend,https://github.com/Project-Guideon/guideon-backend,서버/백엔드,서버/백엔드,keyword,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 웹 풀스택 | 웹 풀스택,0.6667 | 0.6667 | 0.6316 | 0.6316 | 0.6316,백엔드 개발자 | 백엔드개발 (Sonix서비스) | [버키드] 백엔드(Back-end) 개발 | 시니어 풀스택 소프트웨어 엔지니어 | 웹 개발자 (책임급)
Project-Guideon/guideon-backend,https://github.com/Project-Guideon/guideon-backend,서버/백엔드,서버/백엔드,embedding,1,1,1,서버/백엔드,서버/백엔드 | SW/솔루션 | devops/시스템 엔지니어 | 서버/백엔드 | 서버/백엔드,0.8350 | 0.8337 | 0.8198 | 0.8183 | 0.8151,경력 개발자(백엔드) 채용 | L4-L7 스위치 가상화 솔루션 개발 경력 | 개발자(devops/시스템엔지니어) 채용 (경력1년~4년) | 백엔드 개발자 (5년이상) | 백엔드 개발자
AstroJini/MKX-BE,https://github.com/AstroJini/MKX-BE,풀스택,풀스택,keyword,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 블록체인,0.7368 | 0.7059 | 0.7059 | 0.7000 | 0.6667,백엔드 개발자 | Backend (Kotlin /Spring) Engineer | [버키드] 백엔드(Back-end) 개발 | Spring 백엔드 개발 (0~3년) | Backend Engineering 팀장 (블록체인)
AstroJini/MKX-BE,https://github.com/AstroJini/MKX-BE,풀스택,풀스택,embedding,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | SW/솔루션 | 서버/백엔드,0.8365 | 0.8226 | 0.8218 | 0.8151 | 0.8136,경력 개발자(백엔드) 채용 | 백엔드 개발/서버 운영 (10년이상) | 백엔드 개발자 (5년이상) | L4-L7 스위치 가상화 솔루션 개발 경력 | [자리톡] Java 백엔드 개발자
AstroJini/SmartFridge,https://github.com/AstroJini/SmartFridge,풀스택,풀스택,keyword,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드,0.7000 | 0.6667 | 0.6667 | 0.6667 | 0.6667,백엔드 개발자 | Spring 백엔드 개발 (0~3년) | Backend (Kotlin /Spring) Engineer | [버키드] 백엔드(Back-end) 개발 | 백엔드 개발자 5년차 이상
AstroJini/SmartFridge,https://github.com/AstroJini/SmartFridge,풀스택,풀스택,embedding,1,1,1,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드,0.8536 | 0.8522 | 0.8509 | 0.8503 | 0.8502,Server팀 백엔드 개발자 경력 채용 | 경력 개발자(백엔드) 채용 | 백엔드 개발자 (5년이상) | 백엔드 개발/서버 운영 (10년이상) | Endpoint연구실 [Server 개발자]
chjnett/my-sports-ai,https://github.com/chjnett/my-sports-ai,인공지능/머신러닝,인공지능/머신러닝,keyword,1,1,1,인공지능/머신러닝,인공지능/머신러닝 | SW/솔루션 | 인공지능/머신러닝 | 인공지능/머신러닝 | 웹 풀스택,0.6667 | 0.6250 | 0.6000 | 0.5882 | 0.5882,Perception AI 엔지니어 3년 이상 | Linux C++ (3년 이상) | AI Solution Engineer | AI Software Engineer(Vision&MLOps Specialist) | 시니어 풀스택 소프트웨어 엔지니어
chjnett/my-sports-ai,https://github.com/chjnett/my-sports-ai,인공지능/머신러닝,인공지능/머신러닝,embedding,0,0,0,SW/솔루션,SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | devops/시스템 엔지니어 | devops/시스템 엔지니어,0.8266 | 0.7987 | 0.7962 | 0.7935 | 0.7914,GitLab 솔루션 엔지니어 | SRE/DevOps Engineer | L4-L7 스위치 가상화 솔루션 개발 경력 | 개발자(devops/시스템엔지니어) 채용 (경력1년~4년) | 스타트투데이 데브옵스(DevOps) 엔지니어
