repo_key,repo_url,true_label,true_label_normalized,method,top1_hit,top3_hit,top5_hit,pred_top1_category,pred_categories_top5,scores_top5,positions_top5
hojunnnnn/board,https://github.com/hojunnnnn/board,서버/백엔드,서버/백엔드,keyword,0,0,1,devops/시스템 엔지니어,devops/시스템 엔지니어 | devops/시스템 엔지니어 | devops/시스템 엔지니어 | SW/솔루션 | 서버/백엔드,0.7059 | 0.6250 | 0.6250 | 0.6000 | 0.5882,"물류시스템 개발 및 운영 채용 | 로봇 관제 시스템 백엔드 개발자 | [프리랜서] 한화토탈에너지스 화학물질 관리시스템 구축 | [프리랜서] 한화생명 디지털 채널 업무운영 | JAVA/JSP, SPRING 개발자"
kimsh322/portfolio-react,https://github.com/kimsh322/portfolio-react,프론트엔드,프론트엔드,embedding,1,1,1,프론트엔드,프론트엔드 | 프론트엔드 | SW/솔루션 | 프론트엔드 | 프론트엔드,0.7363 | 0.7260 | 0.7189 | 0.7162 | 0.7086,프론트엔드 개발자_1~4년 | [Tech] 웹 프론트엔드 개발자 | 웹개발자 | Front-End 개발자 | 웹(React) 개발자_산업기능요원 가능
many-yun/my-portfolio,https://github.com/many-yun/my-portfolio,프론트엔드,프론트엔드,keyword,0,0,1,SW/솔루션,SW/솔루션 | 인공지능/머신러닝 | SW/솔루션 | 크로스플랫폼 앱 | 프론트엔드,0.7500 | 0.6667 | 0.6667 | 0.6000 | 0.6000,웹프로그램 담당[LOST ARK] | [신작팀] AI 개발자 | SW 솔루션 개발자 | React Native / React / Frontend 개발자 | React 기반 웹 인터랙티브 이벤트 엔진 개발 리드
many-yun/my-portfolio,https://github.com/many-yun/my-portfolio,프론트엔드,프론트엔드,embedding,1,1,1,프론트엔드,프론트엔드 | 프론트엔드 | 게임 클라이언트 | 프론트엔드 | 프론트엔드,0.7861 | 0.7432 | 0.7421 | 0.7354 | 0.7265,프론트 개발 3-5년차 | 프론트엔드 개발자_1~4년 | 게임 개발자(1~3년) | React 기반 웹 인터랙티브 이벤트 엔진 개발 리드 | 프론트엔드 개발자
kimminseoung/PortFolio,https://github.com/kimminseoung/PortFolio,프론트엔드,프론트엔드,keyword,1,1,1,프론트엔드,프론트엔드 | 프론트엔드 | 프론트엔드 | 프론트엔드 | SW/솔루션,0.8571 | 0.6667 | 0.6667 | 0.6667 | 0.6667,웹 프론트엔드 엔지니어 | 프론트엔드 엔지니어 | 프론트엔드 개발자(3~5년) | [NHN Dooray]협업 서비스 프론트엔드 개발 | FE Engineer (Part Lead)
kimminseoung/PortFolio,https://github.com/kimminseoung/PortFolio,프론트엔드,프론트엔드,embedding,1,1,1,프론트엔드,프론트엔드 | SW/솔루션 | 프론트엔드 | SW/솔루션 | 프론트엔드,0.7596 | 0.7591 | 0.7551 | 0.7437 | 0.7429,"[더운반] 프론트엔드 개발 6년 이상 | 웹개발자 | [Tech] 웹 프론트엔드 개발자 | 웹 크롤러(크롤링,스크래핑,스크래퍼) | [커넥트] 웹(React) 개발자"
audgns722/react_portfolio2023,https://github.com/audgns722/react_portfolio2023,프론트엔드,프론트엔드,keyword,1,1,1,프론트엔드,프론트엔드 | 프론트엔드 | 웹 풀스택 | 프론트엔드 | 프론트엔드,0.6250 | 0.5556 | 0.5455 | 0.5333 | 0.5333,Frontend Engineer | [텀블벅] 프론트엔드 개발자 (1~3년) | 프로덕트 엔지니어(풀스택) / 2~5년 | [Mnet Plus] Frontend Engineer | 프론트엔드 개발자
audgns722/react_portfolio2023,https://github.com/audgns722/react_portfolio2023,프론트엔드,프론트엔드,embedding,0,1,1,서버/백엔드,서버/백엔드 | 프론트엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드,0.7938 | 0.7911 | 0.7907 | 0.7834 | 0.7833,Endpoint연구실 [Server 개발자] | 프론트엔드 개발 7년 이상자 | Java 개발자(Front-end engineer) | [자리톡] Java 백엔드 개발자 | 백엔드 개발자
yejipark0514/Yeji-Park,https://github.com/yejipark0514/Yeji-Park,인공지능/머신러닝,인공지능/머신러닝,keyword,0,1,1,SW/솔루션,SW/솔루션 | 인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝,0.8889 | 0.8571 | 0.7500 | 0.7500 | 0.7500,Data Scientist | AI Engineer(1년 이상) | 딥러닝 리서치 엔지니어 | AI Research Scientist | Voice AI Agent Engineer
yejipark0514/Yeji-Park,https://github.com/yejipark0514/Yeji-Park,인공지능/머신러닝,인공지능/머신러닝,embedding,0,1,1,SW/솔루션,SW/솔루션 | 서버/백엔드 | 인공지능/머신러닝 | SW/솔루션 | 인공지능/머신러닝,0.7345 | 0.7335 | 0.7309 | 0.7242 | 0.7226,AI개발자 모집 | Python Developer | LLM RAG 및 AI Agent 개발 신입 | Deep Learning Research Enginee | AI기반 RNA 신약 개발 연구원(AI Engineer)
suy379/Portfolio_sy,https://github.com/suy379/Portfolio_sy,인공지능/머신러닝,인공지능/머신러닝,keyword,1,1,1,인공지능/머신러닝,인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝 | SW/솔루션,1.0000 | 0.8571 | 0.8000 | 0.8000 | 0.8000,"AI Engineer(1년 이상) | 딥러닝 리서치 엔지니어 | [강남] AI연구소 AI 개발 연구원 (딥러닝, 강화학습 분야) | 자사 AI 엔지니어 개발(SI) | 로봇개발 및 운영/AI응용 프로그램개발"
suy379/Portfolio_sy,https://github.com/suy379/Portfolio_sy,인공지능/머신러닝,인공지능/머신러닝,embedding,1,1,1,인공지능/머신러닝,인공지능/머신러닝 | SW/솔루션 | 인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝,0.8617 | 0.8481 | 0.8299 | 0.8295 | 0.8177,[인공지능] LLM 개발자(경력 1-3년) | Deep Learning Research Enginee | [오케스트로 AGI] AI 모델러 | AI 모델러 경력 채용 | 컴퓨터 비전 딥러닝/머신러닝(5년이상)
hyunsookim0813/Portfolio_hs,https://github.com/hyunsookim0813/Portfolio_hs,인공지능/머신러닝,인공지능/머신러닝,keyword,1,1,1,인공지능/머신러닝,인공지능/머신러닝 | SW/솔루션 | 인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝,1.0000 | 1.0000 | 0.8000 | 0.8000 | 0.6667,자사 AI 엔지니어 개발(SI) | 로봇개발 및 운영/AI응용 프로그램개발 | 연구 개발 (머신러닝 개발) | AI Engineer(1년 이상) | Senior AI Safety Research Engineer (3년 이상)
hyunsookim0813/Portfolio_hs,https://github.com/hyunsookim0813/Portfolio_hs,인공지능/머신러닝,인공지능/머신러닝,embedding,1,1,1,인공지능/머신러닝,인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝 | SW/솔루션,0.8003 | 0.7927 | 0.7869 | 0.7782 | 0.7779,Duplicate of AI 개발자(병역특례) | 컴퓨터 비전 딥러닝/머신러닝(5년이상) | [인공지능] LLM 개발자(경력 1-3년) | AI 모델러 경력 채용 | NLP/LLM 엔지니어
yorsing/Portfolio,https://github.com/yorsing/Portfolio,인공지능/머신러닝,인공지능/머신러닝,keyword,1,1,1,인공지능/머신러닝,인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝,1.0000 | 0.8000 | 0.6667 | 0.6667 | 0.6667,"[강남] AI연구소 AI 개발 연구원 (딥러닝, 강화학습 분야) | AI Engineer(1년 이상) | 인공지능 신약개발 연구원 (석사이상) | [연구개발] AI 이미징 시스템 엔지니어 (3년 이상) | 딥러닝 리서치 엔지니어"
yorsing/Portfolio,https://github.com/yorsing/Portfolio,인공지능/머신러닝,인공지능/머신러닝,embedding,1,1,1,인공지능/머신러닝,인공지능/머신러닝 | SW/솔루션 | 인공지능/머신러닝 | 인공지능/머신러닝 | 인공지능/머신러닝,0.8610 | 0.8192 | 0.8189 | 0.8175 | 0.8072,[인공지능] LLM 개발자(경력 1-3년) | Deep Learning Research Enginee | Machine Learning Engineer (Vision & AI) | [기술혁신실] AI Research Scientist | AI 모델러 경력 채용
moon19ht/SeSac-AI-Developer-Notes-2025,https://github.com/moon19ht/SeSac-AI-Developer-Notes-2025,인공지능/머신러닝,인공지능/머신러닝,keyword,0,1,1,서버/백엔드,서버/백엔드 | 인공지능/머신러닝 | 서버/백엔드 | 인공지능/머신러닝 | 서버/백엔드,0.6087 | 0.5926 | 0.5714 | 0.5000 | 0.5000,[강남/선릉 연구소] 백엔드 개발자 경력직 채용(2년 이상) | 백엔드 개발자 (Python/AI) | Partner Backend 개발자 | [America Tech] AI Software Engineer | Python기반 백엔드 개발자 (3년 이상)
moon19ht/SeSac-AI-Developer-Notes-2025,https://github.com/moon19ht/SeSac-AI-Developer-Notes-2025,인공지능/머신러닝,인공지능/머신러닝,embedding,0,0,1,SW/솔루션,SW/솔루션 | 프론트엔드 | 프론트엔드 | 서버/백엔드 | 인공지능/머신러닝,0.8335 | 0.8288 | 0.8227 | 0.8221 | 0.8204,AI개발자 모집 | 프론트엔드 개발자_1~4년 | [경력] 프론트엔드 개발자 | 백엔드 엔지니어 채용(경력3~5년) | AI Agent Developer (오산)
Kuneosu/bracket_helper,https://github.com/Kuneosu/bracket_helper,모바일 앱,모바일 앱,keyword,0,0,1,SW/솔루션,SW/솔루션 | QA 엔지니어 | devops/시스템 엔지니어 | 크로스플랫폼 앱 | SW/솔루션,0.6000 | 0.5000 | 0.5000 | 0.5000 | 0.5000,소프트웨어 엔지니어 | QA 엔지니어 (4년 이상) | [LK보험중개] IT 시스템 운영 및 개발 | [고워크] flutter App 개발자 | IT Operations Manager
Kuneosu/bracket_helper,https://github.com/Kuneosu/bracket_helper,모바일 앱,모바일 앱,embedding,1,1,1,크로스플랫폼 앱,크로스플랫폼 앱 | 크로스플랫폼 앱 | 크로스플랫폼 앱 | 크로스플랫폼 앱 | 크로스플랫폼 앱,0.7895 | 0.7786 | 0.7713 | 0.7680 | 0.7582,Flutter 앱 개발 | 앱(Flutter) 개발 | 플러터 클라이언트 개발자 (2년 이상) | [메가스터디교육 자회사] 앱 개발자 (Flutter) | Flutter 프론트엔드 개발자 채용
JUGGUM/mealfit,https://github.com/JUGGUM/mealfit,모바일 앱,모바일 앱,keyword,0,0,0,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드,0.7000 | 0.6667 | 0.6667 | 0.6364 | 0.6087,백엔드 개발자 | Spring 백엔드 개발 (0~3년) | Backend (Kotlin /Spring) Engineer | Backend Engineer(5년 이상) | 백엔드 개발자(네이버 계열사)
JUGGUM/mealfit,https://github.com/JUGGUM/mealfit,모바일 앱,모바일 앱,embedding,0,0,0,SW/솔루션,SW/솔루션 | 서버/백엔드 | 서버/백엔드 | devops/시스템 엔지니어 | SW/솔루션,0.8266 | 0.8250 | 0.8042 | 0.8042 | 0.8032,L4-L7 스위치 가상화 솔루션 개발 경력 | 경력 개발자(백엔드) 채용 | 서버/백엔드 개발자 채용 (경력1년~4년) | 개발자(devops/시스템엔지니어) 채용 (경력1년~4년) | WEBFRONT-K GUI 개발
jaeyeong2659/Unity_Portfolio,https://github.com/jaeyeong2659/Unity_Portfolio,게임 개발,게임 개발,keyword,0,0,0,devops/시스템 엔지니어,devops/시스템 엔지니어 | SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | SW/솔루션,0.7273 | 0.6667 | 0.6667 | 0.6667 | 0.6667,애니메이션 저작 솔루션 시스템 개발자 (유니티 기반) | S/W 소프트웨어 개발 - 경력 | 시스템개발/유지보수(1~3년) | 자동화장비 PC제어 경력(동탄본사) | 비전 검사장비 엔지니어(S/W개발&셋업)
jaeyeong2659/Unity_Portfolio,https://github.com/jaeyeong2659/Unity_Portfolio,게임 개발,게임 개발,embedding,1,1,1,게임 서버,게임 서버 | SW/솔루션 | 프론트엔드 | SW/솔루션 | 웹 풀스택,0.6369 | 0.6288 | 0.6273 | 0.6250 | 0.6223,"게임 백엔드 개발자(5년 이상) | WEBFRONT-K GUI 개발 | 프론트 개발 3-5년차 | c#, db 관련 개발자 | Full-stack Engineer"
fan950/Match-3-Game,https://github.com/fan950/Match-3-Game,게임 개발,게임 개발,keyword,0,0,0,SW/솔루션,SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | SW/솔루션 | SW/솔루션,0.8000 | 0.8000 | 0.8000 | 0.8000 | 0.8000,S/W 소프트웨어 개발 - 경력 | 시스템개발/유지보수(1~3년) | 자동화장비 PC제어 경력(동탄본사) | 비전 검사장비 엔지니어(S/W개발&셋업) | 자동화장비 PC제어 경력(구미)
fan950/Match-3-Game,https://github.com/fan950/Match-3-Game,게임 개발,게임 개발,embedding,1,1,1,게임 클라이언트,게임 클라이언트 | 프론트엔드 | 게임 서버 | 프론트엔드 | SW/솔루션,0.6224 | 0.6163 | 0.6031 | 0.5950 | 0.5904,"게임 개발자(1~3년) | 프론트 개발 3-5년차 | 게임 백엔드 개발자(5년 이상) | 프론트엔드 개발자_1~4년 | c#, db 관련 개발자"
LHuHyeon/Security_Escape_Game,https://github.com/LHuHyeon/Security_Escape_Game,게임 개발,게임 개발,keyword,0,0,0,devops/시스템 엔지니어,devops/시스템 엔지니어 | SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션 | SW/솔루션,0.7273 | 0.6667 | 0.6667 | 0.6667 | 0.6667,애니메이션 저작 솔루션 시스템 개발자 (유니티 기반) | S/W 소프트웨어 개발 - 경력 | 시스템개발/유지보수(1~3년) | 자동화장비 PC제어 경력(동탄본사) | 비전 검사장비 엔지니어(S/W개발&셋업)
LHuHyeon/Security_Escape_Game,https://github.com/LHuHyeon/Security_Escape_Game,게임 개발,게임 개발,embedding,1,1,1,게임 서버,게임 서버 | 프론트엔드 | SW/솔루션 | 게임 클라이언트 | 서버/백엔드,0.6158 | 0.6118 | 0.6086 | 0.6061 | 0.6029,게임 백엔드 개발자(5년 이상) | 프론트 개발 3-5년차 | LOST ARK 개발QA 담당 | 게임 개발자(1~3년) | LOST ARK Mobile 서버개발 담당
LiztyStalker/Portfolio,https://github.com/LiztyStalker/Portfolio,게임 개발,게임 개발,keyword,0,0,0,SW/솔루션,SW/솔루션 | 인공지능/머신러닝 | SW/솔루션 | devops/시스템 엔지니어 | QA 엔지니어,0.5714 | 0.5000 | 0.5000 | 0.4444 | 0.4444,"[부산] 코어셀 - 비주얼테크 디자이너 (AI이미지 학습,생성) | [신작팀] AI 개발자 | SW 솔루션 개발자 | 애니메이션 저작 솔루션 시스템 개발자 (유니티 기반) | [신작팀] 하이퍼캐주얼 QA"
LiztyStalker/Portfolio,https://github.com/LiztyStalker/Portfolio,게임 개발,게임 개발,embedding,0,0,1,QA 엔지니어,QA 엔지니어 | 프론트엔드 | SW/솔루션 | SW/솔루션 | 게임 클라이언트,0.6147 | 0.6136 | 0.5963 | 0.5933 | 0.5836,[신작팀] 하이퍼캐주얼 QA | React 기반 웹 인터랙티브 이벤트 엔진 개발 리드 | Mobile Client Engineer | LOST ARK 개발QA 담당 | 게임 개발자(1~3년)
nowonsang/portfolio,https://github.com/nowonsang/portfolio,게임 개발,게임 개발,keyword,0,0,0,서버/백엔드,서버/백엔드 | SW/솔루션 | 서버/백엔드 | 서버/백엔드 | 인공지능/머신러닝,0.5714 | 0.5714 | 0.5000 | 0.5000 | 0.5000,[인턴] [오디바이스] 백엔드 엔지니어 | Technical Product Manager | [서울] 백엔드 개발자 | AX팀 Backend Engineer (Nest.js) / 2년~5년 | AI 카메라 임베디드 웹서버 개발자
nowonsang/portfolio,https://github.com/nowonsang/portfolio,게임 개발,게임 개발,embedding,0,0,0,서버/백엔드,서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드,0.7951 | 0.7861 | 0.7816 | 0.7802 | 0.7770,백엔드 개발자 | 백엔드 개발자 | 백엔드 개발자 3년 이상 | 백엔드 개발자(5년 이상) | BackEnd Engineer
PNUCSE/Capstone-2022-1-35,https://github.com/PNUCSE/Capstone-2022-1-35,블록체인,블록체인,keyword,0,0,0,devops/시스템 엔지니어,devops/시스템 엔지니어 | 웹 풀스택 | SW/솔루션 | devops/시스템 엔지니어 | SW/솔루션,0.6000 | 0.4615 | 0.4615 | 0.4615 | 0.4615,DevOps (5년 이상) | 시니어 풀스택 소프트웨어 엔지니어 | Forward Deployed Software Engineer | DevOps 엔지니어 | Solutions Architect
PNUCSE/Capstone-2022-1-35,https://github.com/PNUCSE/Capstone-2022-1-35,블록체인,블록체인,embedding,0,0,0,devops/시스템 엔지니어,devops/시스템 엔지니어 | SW/솔루션 | devops/시스템 엔지니어 | 웹 풀스택 | 프론트엔드,0.7216 | 0.7135 | 0.7124 | 0.7052 | 0.7001,DevOps Engineer (SRE) [일본] | [상장사] 파인뷰 FW개발(업계최고대우) | 네트워크 제어/관리 시스템 개발 | Fullstack Engineer | 프론트엔드 개발자
potential1205/betty,https://github.com/potential1205/betty,블록체인,블록체인,keyword,0,0,0,프론트엔드,프론트엔드 | 프론트엔드 | 프론트엔드 | 프론트엔드 | 프론트엔드,0.6250 | 0.6250 | 0.6250 | 0.6154 | 0.6154,시니어 프론트엔드 개발 | Frontend Engineer(고향사랑기부제) | Frontend Engineer | 프론트엔드 엔지니어 | 프론트엔드 개발자(3~5년)
potential1205/betty,https://github.com/potential1205/betty,블록체인,블록체인,embedding,0,0,0,프론트엔드,프론트엔드 | 프론트엔드 | 서버/백엔드 | 웹 풀스택 | 웹 풀스택,0.8524 | 0.8475 | 0.8422 | 0.8368 | 0.8361,[Tech] 웹 프론트엔드 개발자 | 프론트엔드 개발자 | 백엔드 개발자 | 풀스택 (Full-stack) 개발자 | 프론트·백엔드 개발자 채용
JoonSoo-Kim/VIN,https://github.com/JoonSoo-Kim/VIN,블록체인,블록체인,keyword,0,0,0,SW/솔루션,SW/솔루션 | 프론트엔드 | 프론트엔드 | SW/솔루션 | devops/시스템 엔지니어,0.6667 | 0.6667 | 0.5714 | 0.5714 | 0.5714,B2B 프로젝트 개발팀 신입 | Front end 개발 리더 | [메가웍스] React.JS 경력직 개발자 | [대웅그룹] 개발파트 7년 이상 | [프리랜서] 증권 주식매매 시스템 개발 및 운영
JoonSoo-Kim/VIN,https://github.com/JoonSoo-Kim/VIN,블록체인,블록체인,embedding,0,0,0,프론트엔드,프론트엔드 | QA 엔지니어 | 프론트엔드 | 프론트엔드 | 프론트엔드,0.6787 | 0.6675 | 0.6525 | 0.6510 | 0.6507,"프론트엔드 개발자_1~4년 | [프리랜서][시흥] Ros 데모 테스트 개발 | Software Engineer, Web Frontend | Frontend Engineer (React) | Frontend Developer (React)"
SangjunRyu/clinical-search-data-pipeline,https://github.com/SangjunRyu/clinical-search-data-pipeline,빅데이터 엔지니어,빅데이터 엔지니어,keyword,0,1,1,SW/솔루션,SW/솔루션 | 빅데이터 엔지니어 | SW/솔루션 | SW/솔루션 | SW/솔루션,0.6316 | 0.6087 | 0.5882 | 0.5714 | 0.5714,"개발팀 Data Engineer (5년 이상) | 데이터 엔지니어 | [Tech] Data Engineer (DW, 5년 이상) | 데이터 사이언티스트 (Lead) | Data Engineer"
SangjunRyu/clinical-search-data-pipeline,https://github.com/SangjunRyu/clinical-search-data-pipeline,빅데이터 엔지니어,빅데이터 엔지니어,embedding,0,1,1,서버/백엔드,서버/백엔드 | 빅데이터 엔지니어 | SW/솔루션 | 서버/백엔드 | SW/솔루션,0.7965 | 0.7920 | 0.7848 | 0.7806 | 0.7748,백엔드 개발자_3년차 이상 | 빅데이터 솔루션 엔지니어 (1년 이상) | Data Engineer | 백엔드/데이터 플랫폼 엔지니어 | AI개발자 모집
jms0522/Streaming-Data,https://github.com/jms0522/Streaming-Data,빅데이터 엔지니어,빅데이터 엔지니어,keyword,1,1,1,빅데이터 엔지니어,빅데이터 엔지니어 | SW/솔루션 | SW/솔루션 | SW/솔루션 | 빅데이터 엔지니어,0.6087 | 0.5882 | 0.5714 | 0.5714 | 0.5714,"데이터 엔지니어 | [Tech] Data Engineer (DW, 5년 이상) | 데이터 사이언티스트 (Lead) | Data Engineer | 데이터 엔지니어"
jms0522/Streaming-Data,https://github.com/jms0522/Streaming-Data,빅데이터 엔지니어,빅데이터 엔지니어,embedding,0,0,1,SW/솔루션,SW/솔루션 | 서버/백엔드 | 서버/백엔드 | 빅데이터 엔지니어 | 인공지능/머신러닝,0.8126 | 0.8014 | 0.7990 | 0.7984 | 0.7969,AI개발자 모집 | 파이썬 백엔드 개발자 | 백엔드 개발자_3년차 이상 | 빅데이터 솔루션 엔지니어 (1년 이상) | LLM RAG 및 AI Agent 개발 신입
dharana77/data-pipeline-for-music-recommendation,https://github.com/dharana77/data-pipeline-for-music-recommendation,빅데이터 엔지니어,빅데이터 엔지니어,keyword,0,0,0,서버/백엔드,서버/백엔드 | SW/솔루션 | SW/솔루션 | 인공지능/머신러닝 | SW/솔루션,0.5556 | 0.5556 | 0.5556 | 0.5333 | 0.5333,백엔드 개발자(5년 이상) | Field Application Engineer | 비전 SLAM 개발자(3~15년) | Junior AI Engineer(E2E Autonomous)(전문연구요원 가능) | 통합보안관리 엔지니어(신입)
dharana77/data-pipeline-for-music-recommendation,https://github.com/dharana77/data-pipeline-for-music-recommendation,빅데이터 엔지니어,빅데이터 엔지니어,embedding,0,0,0,SW/솔루션,SW/솔루션 | 서버/백엔드 | 서버/백엔드 | 서버/백엔드 | 인공지능/머신러닝,0.7858 | 0.7742 | 0.7721 | 0.7613 | 0.7604,AI개발자 모집 | 파이썬 백엔드 개발자 | Python Developer | 백엔드 개발자_3년차 이상 | LLM RAG 및 AI Agent 개발 신입
UICHEOL-HWANG/subway_pipeline,https://github.com/UICHEOL-HWANG/subway_pipeline,빅데이터 엔지니어,빅데이터 엔지니어,keyword,1,1,1,빅데이터 엔지니어,빅데이터 엔지니어 | SW/솔루션 | 인공지능/머신러닝 | SW/솔루션 | 빅데이터 엔지니어,0.6667 | 0.5714 | 0.5455 | 0.5455 | 0.5333,"데이터 엔지니어 | 개발팀 Data Engineer (5년 이상) | Senior Engineering Manager, ML Data | [미리디] 애널리틱스 엔지니어 (Financial/Accounting) | 시니어 데이터 엔지니어"
